HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZYZ4ZXGD7DZRWRXYS7XHZ,A9K8BK4EAVT34,Approved,"Fri May 02 19:24:27 PDT 2008","Fri May 02 19:24:48 PDT 2008","I wish to thank you for asking this question.
""Thank you""",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZRBYZGARW2W7ZYPZ29X10,ATJQTHNPVWH9,Approved,"Fri May 02 19:37:35 PDT 2008","Fri May 02 19:37:51 PDT 2008","I wish I had 2 more cents.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ4JA86Z06CSXZZWNCFV30,AUYQJ0TZURV2C,Approved,"Fri May 02 19:45:21 PDT 2008","Fri May 02 19:46:21 PDT 2008","I wish poverty and hunger ends in the world.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ6BRZ7FY46Y48KGYA3WEZ,A2S80GRFKDG5JD,Approved,"Fri May 02 20:15:21 PDT 2008","Fri May 02 20:15:29 PDT 2008","I wish for a horse.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZT9KZKB50HXDZYT8TTV00,AJ4TYH1WFROI6,Approved,"Fri May 02 20:16:36 PDT 2008","Fri May 02 20:17:20 PDT 2008","I wish I could see Paris.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ30FZHCYP8WMAYBYFWRSZ,A2X82O2SHTZDEB,Approved,"Fri May 02 20:50:47 PDT 2008","Fri May 02 20:51:05 PDT 2008","I wish to find my cat.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZWK9THM4DGJCZJTCWHZP0,A2C7BKGUODGMJM,Approved,"Fri May 02 21:05:16 PDT 2008","Fri May 02 21:05:26 PDT 2008","I wish I could fly.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZWX3WTHYFZY2ZG3ZXD1W0,AZRNSZ1JPLFIJ,Approved,"Fri May 02 21:25:23 PDT 2008","Fri May 02 21:25:36 PDT 2008","I wish my family will always be healthy and happy.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZCRMZZSH39K0ZXKZ56WY0,A3UJMW1XWU63AI,Approved,"Fri May 02 23:07:41 PDT 2008","Fri May 02 23:08:17 PDT 2008","making brotherhood all over the world.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZXWSZRVYJA2BZVAZCGHEZ,A24XAXXNTH1FQ9,Approved,"Fri May 02 23:24:32 PDT 2008","Fri May 02 23:25:18 PDT 2008","i wish for a luxurious palace. ",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZWXDZN8SR5Z46TRGFBY0Z,A25QAN4RWU0298,Approved,"Sat May 03 00:18:49 PDT 2008","Sat May 03 00:18:52 PDT 2008","I wish I knew how to keep plants alive.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZFSDZGJCY9Y0GYTHP4A80,A2A5BW4S36WEQH,Approved,"Sat May 03 00:52:12 PDT 2008","Sat May 03 00:52:25 PDT 2008","i wish that you would come home",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ7WZAYJCTHX0Z2QZA7R60,A4FBZ7LKG8F6G,Approved,"Sat May 03 00:57:05 PDT 2008","Sat May 03 00:58:23 PDT 2008","i wish i could have lots of money always",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZNYRTSGXXBXXJV79K32N0,AZAR9V9S3YN0U,Approved,"Sat May 03 01:20:21 PDT 2008","Sat May 03 01:20:44 PDT 2008","I wish to start a school in India",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZVZGWK5YJ22P6HD1KC93Z,A168AJ3RYMDOQ0,Approved,"Sat May 03 02:01:54 PDT 2008","Sat May 03 02:02:07 PDT 2008","wish there was peace on earth",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ09VC519YHVHZ0YZKWYN0,A1N52MD4V1552U,Approved,"Sat May 03 04:30:54 PDT 2008","Sat May 03 04:31:04 PDT 2008","TO MAKE NICE COOKING",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZSTAZ6ZZ0EYGGK4Y7EA00,A12YDE6Q9DQ65E,Approved,"Sat May 03 04:31:48 PDT 2008","Sat May 03 04:32:09 PDT 2008","I wish for an end to world hunger",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZQZK6M9Z2SXT41NHFQJGZ,A2Q1E1PFG4BOVD,Approved,"Sat May 03 06:54:09 PDT 2008","Sat May 03 06:54:42 PDT 2008","for Rothana to be happy and go to BYU Hawaii",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZYXEZ3BZVVXQ4V8ZEZR60,A3QMXTXPNOUEVO,Approved,"Sat May 03 08:09:34 PDT 2008","Sat May 03 08:10:00 PDT 2008","I wish we had a good president of the US.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ2XF8X9ZS5XYZTXYY2X70,A1Q5GERIWS0YJR,Approved,"Sat May 03 09:25:56 PDT 2008","Sat May 03 09:26:13 PDT 2008","for James to come home safely",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZAZCZSCZRVSHP1NZ0NWQ0,A31OZ6SKYPNYBD,Approved,"Sat May 03 09:34:32 PDT 2008","Sat May 03 09:35:35 PDT 2008","I wish McCain becoomes president, not lying obama or clinton",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ2YRZMPYSBWKJY6DFD0H0,A2AY0W9PPIFABU,Approved,"Sat May 03 14:30:18 PDT 2008","Sat May 03 14:30:37 PDT 2008","I wish I hadn't eaten so much candy.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ2ZNZV9YJX2AW0WDSXZG0,A8G6QNEMVWIEE,Approved,"Sat May 03 18:05:13 PDT 2008","Sat May 03 18:05:47 PDT 2008","I wish my fiance would treat me better.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ38FZ1YYMGZE8SRCDQXC0,A2Y2CU68U8XBDN,Approved,"Sat May 03 19:21:03 PDT 2008","Sat May 03 19:21:38 PDT 2008","I wish I could communicate with cats and dogs.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZSBSCSY1A49WGP79HC3XZ,A2RR86UZIC8XIQ,Approved,"Sat May 03 19:40:13 PDT 2008","Sat May 03 19:40:22 PDT 2008","I wish to win the lottery. ",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZZ27A2XRHYYFRRHYVWWJ0,A23GSD1C1Y2JMB,Approved,"Sat May 03 20:17:15 PDT 2008","Sat May 03 20:17:43 PDT 2008","I wish I could lose more weight.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZV0VZNPXJEG5ZYZWNCXSZ,A37R966EV2XC6Y,Approved,"Sat May 03 20:27:49 PDT 2008","Sat May 03 20:28:00 PDT 2008","to drink champagne from a glass slipper.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZWWVZ3389FXT6HYW632H0,ALG8TY12Y7E0T,Approved,"Sat May 03 20:33:01 PDT 2008","Sat May 03 20:33:13 PDT 2008","I wish I didn't have student loans. ",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZEW6TJ0ZZ6XD2XX5GW81Z,A1ITHCUUB0J4JC,Approved,"Sat May 03 22:06:26 PDT 2008","Sat May 03 22:06:43 PDT 2008","I wish there was no more poverty.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ9YZWH4YBJWRZSVYMPRQ0,A1DFWEXO5O2GFK,Approved,"Sat May 03 22:12:09 PDT 2008","Sat May 03 22:13:34 PDT 2008","I wish my wife had everything she deserved.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZSYAZWE5YVJP46RYKSVGZ,AMJY7CKRBEI2A,Approved,"Sun May 04 01:00:30 PDT 2008","Sun May 04 01:00:58 PDT 2008","I wish a cure would be found for Alzheimer's disease.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ3Z0MTPY3CWFZJ7Y8YX5Z,A7RT8HVNSJI0R,Approved,"Sun May 04 04:54:31 PDT 2008","Sun May 04 04:54:35 PDT 2008","I Wish I Could Have Loved You More ",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZSKEY1QN63ZJZNYMDP890,A2I0J9G1599Z85,Approved,"Sun May 04 05:07:29 PDT 2008","Sun May 04 05:08:00 PDT 2008","I wish I knew how to kiteboard.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZSYPAH4C12ZGZXCWDXXJZ,A2BU76OWGPS7VR,Approved,"Sun May 04 07:01:29 PDT 2008","Sun May 04 07:02:16 PDT 2008","I wish that neighbors were more neighborly, not strangers.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZCKKZZSZXBWCZSW43VVA0,A2073HCSI4UBE2,Approved,"Sun May 04 07:15:00 PDT 2008","Sun May 04 07:16:20 PDT 2008","I wish for a million dollars.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZMZKMWB1RD138QKZ9PZA0,A3B2374GJ20UQ6,Approved,"Sun May 04 07:51:57 PDT 2008","Sun May 04 07:52:13 PDT 2008","I wish that I wasn't so confused by religion",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZZX3ZGM9KV1FZYHSH2BT0,A2LIHTNE1TP4P6,Approved,"Sun May 04 10:09:00 PDT 2008","Sun May 04 10:09:16 PDT 2008","I wish that Memory of Light was out",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZQJYZ0VZPBS4R44Y9R1M0,A2OY54JKHARPKS,Approved,"Sun May 04 10:32:22 PDT 2008","Sun May 04 10:32:38 PDT 2008","my wish is to quit smoking",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ30QZ4GYF4JDAQJZF2V20,ARTW49H6IZEYH,Approved,"Sun May 04 12:21:58 PDT 2008","Sun May 04 12:22:44 PDT 2008","I wish that I had more money for my family.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZWXWZV8YHQ3HY61ZQFX1Z,A1YAIRANEWIA6D,Approved,"Sun May 04 14:36:55 PDT 2008","Sun May 04 14:37:18 PDT 2008","I want to have a long healthy life.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZX25ZSFRND82ZMMMTFX90,AV4NIMKQCLGOM,Approved,"Sun May 04 16:21:23 PDT 2008","Sun May 04 16:21:58 PDT 2008","I wish I didn't have any diseases",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZMY6E39Y8BX7T734B7YK0,A5JAAQM5LWC76,Approved,"Sun May 04 16:26:31 PDT 2008","Sun May 04 16:26:48 PDT 2008","I wish to continue building my riding network and support.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZBG1Z1FY15ZJZPTZZTXR0,A27QZXP15UIHAC,Approved,"Sun May 04 17:26:58 PDT 2008","Sun May 04 17:27:30 PDT 2008","I wish for a solution to the Israel-Palestine conflict.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZC3YWMCXPE1AJWMYY3ZP0,A34G05CJ2BA22I,Approved,"Sun May 04 19:01:28 PDT 2008","Sun May 04 19:01:52 PDT 2008","I wish I was thin.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ8W5ZYS1XKTMMYYMS3RK0,ACA2ZCB024K2S,Approved,"Sun May 04 19:22:46 PDT 2008","Sun May 04 19:23:01 PDT 2008","I wish to NOT have sleeping hours problems",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZGBH21AZS6J2ZX9MQHZZZ,A3SYUER25DHV1,Approved,"Sun May 04 20:24:57 PDT 2008","Sun May 04 20:25:31 PDT 2008","to do something of great significance before I die.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZSY9ZKE5QYYQZ1WS8HZDZ,A1CZU3RMLIJDLP,Approved,"Sun May 04 20:50:18 PDT 2008","Sun May 04 20:50:29 PDT 2008","I wish to become a pro gamer.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ3JGZP6Z5V3QEZFY7DA8Z,A1U40NOLAU79SU,Approved,"Sun May 04 21:02:16 PDT 2008","Sun May 04 21:02:33 PDT 2008","I wish to own a laptop.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZYZ34NRZFSX14R1850YN0,A1FUK7D9O70A8I,Approved,"Sun May 04 21:49:47 PDT 2008","Sun May 04 21:50:03 PDT 2008","I wish it was Christmas.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZAXBRV8YB0GVZ1GZZ4X80,AS47ZFZ2M16E1,Approved,"Sun May 04 22:02:49 PDT 2008","Sun May 04 22:03:05 PDT 2008"," To become the most popular person in the world.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZCR8623ZGHX8ZXCYJQGCZ,A2Q52Y9SQ4HBP6,Approved,"Sun May 04 22:24:30 PDT 2008","Sun May 04 22:24:52 PDT 2008","I wish the war would end.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZZXSRREYW6X1ZYEY0E9N0,A3OQR2LNIJUKVL,Approved,"Mon May 05 01:29:20 PDT 2008","Mon May 05 01:30:22 PDT 2008","I WISH LIFE'S PLAYING FIELD WAS FAIR...IT IS NOT!",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZAWRAZZN1A8WTTXZ4YZXZ,A1PC3H8P4MZ3BV,Approved,"Mon May 05 02:07:16 PDT 2008","Mon May 05 02:07:31 PDT 2008","I wish for middle east fighting to end.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ0HYZ3CWE9X4PWHYNNZVZ,A2V3J1CMZH5JLV,Approved,"Mon May 05 02:48:28 PDT 2008","Mon May 05 02:49:07 PDT 2008","I want to become famous for scientific work.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZDK2ZQF9YSV6CR3Z8CYZZ,A3OCOK912MHX8Y,Approved,"Mon May 05 03:44:54 PDT 2008","Mon May 05 03:45:52 PDT 2008","I wish to swim in the carribbean sea",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZPHWJXE84W3QRRAZCVBH0,A386CBNBITWI3W,Approved,"Mon May 05 05:40:09 PDT 2008","Mon May 05 05:40:42 PDT 2008","I wish people would stop being greedy and bad.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZMK5ZW1YV4AKPH8R9MX00,A39APWH62XBLR9,Approved,"Mon May 05 07:19:46 PDT 2008","Mon May 05 07:20:26 PDT 2008","an end to ""reality"" shows",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZTZHT5QWXRKTJS4ZDDH9Z,A1F7FCJPF0RCZF,Approved,"Mon May 05 08:10:02 PDT 2008","Mon May 05 08:10:10 PDT 2008","I wish to be organized.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZGYKC5YST1WEZ69SNHSEZ,A3N3ESBU769SMG,Approved,"Mon May 05 09:44:01 PDT 2008","Mon May 05 09:44:27 PDT 2008","I wish to remove poverty and hunger from earth.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZCB0Z49ZZGX4Z1BSF8YGZ,A8ODB8DUJI4KA,Approved,"Mon May 05 10:11:32 PDT 2008","Mon May 05 10:12:25 PDT 2008","I wish for more time for Mechanical Turk.",
